Word,Frequency
and,1
architect,2
are,1
at,1
attach,1
attached,1
available,1
avatar,1
big,2
bit,1
biter,1
break,2
bye,1
circuit,7
code,1
come,1
construction,1
contractor,1
cover,2
day,1
dedicated,3
detail,1
dock,1
donuts,1
electrical,2
elevation,2
engineer,2
floor,1
for,1
from,1
front,2
give,5
good,1
grilled,1
grocery,1
guys,2
hay,1
helga,1
here,2
hey,1
home,1
i,1
insulation,1
is,1
issue,1
jack,1
labour,1
let,1
like,1
little,1
marketing,1
matter,1
me,3
months,1
no,1
number,3
of,3
oh,1
okay,1
pass,1
phone,3
rector,1
referral,1
rest,1
salon,1
schedule,1
scrooge,2
seems,1
set,1
sheet,1
show,2
side,5
site,9
size,1
stop,1
substitute,1
teacher,1
the,3
they,1
thickness,1
this,1
to,1
up,1
update,2
vacation,1
want,1
what,1
work,1
works,1
you,1
