Word,Frequency
ah,1
an,1
and,2
are,2
as,2
bauer,1
beach,3
believe,1
bin,2
botanic,2
botanical,1
breath,1
came,1
car,1
celebrity,1
chiropractor,1
clear,1
coaster,1
come,1
crowd,1
diner,1
ear,1
end,1
extra,1
fix,1
found,1
free,1
gap,2
gay,1
girl,1
going,1
have,1
i,1
ill,2
instructor,1
is,2
it,3
kimono,1
lands,1
leader,1
long,1
lost,2
matter,1
mentality,1
mg,2
middle,1
mil,1
miles,1
millet,1
moody,1
morning,1
no,1
noel,1
nor,1
norm,1
not,2
of,1
off,1
offer,1
oh,2
okay,2
on,4
program,1
roller,1
rose,1
schedule,1
school,2
season,1
security,1
showman,2
sick,1
sickness,1
something,1
sub,1
sure,1
sweatshirt,2
take,1
teacher,1
thank,1
the,1
toto,1
up,1
we,1
where,1
would,1
wow,2
yap,2
yeah,1
year,1
you,3
your,2
