Word,Frequency
actually,1
alan,1
all,1
am,3
any,1
appointment,1
around,1
at,1
available,2
avatar,1
been,2
can,1
charge,1
check,1
cloud,1
complain,1
cover,1
created,1
creating,1
data,2
day,2
did,1
direct,1
do,3
doctors,1
does,1
doing,1
durst,1
electrical,3
engineer,5
epic,1
everything,1
fish,1
for,1
four,1
fresh,1
go,1
golf,1
good,1
grocery,1
guys,1
have,4
helga,1
here,2
history,1
hours,1
i,11
insulation,2
internal,2
into,4
is,4
it,4
its,1
know,1
log,2
low,1
manager,1
me,2
medicine,2
meeting,1
met,1
multi,1
nadir,1
night,1
no,1
not,5
now,1
office,1
oil,1
old,2
one,2
pass,1
pat,2
patients,1
physical,1
sandy,1
see,1
she,1
sheet,1
shipping,1
sick,1
size,2
so,2
sorry,2
system,2
tablet,1
take,1
that,2
the,4
they,2
thursday,1
to,3
transfer,2
understand,1
up,1
verse,1
want,1
was,1
were,1
when,2
while,1
with,1
work,2
yeah,1
yet,1
you,4
